ID,Disease,Treatment
11,Alzheimer's disease,"Engage in intellectual activities like:
1.reading,
2.playing board games,
3.completing crossword puzzles,
4.playing musical instruments, 
5.regular social interaction "
12,"Arthritis","Weight loss. If you're obese, losing weight will reduce the stress on
your weight-bearing joints. This may increase your mobility and limit
future joint injury

Exercise. Regular exercise can help keep your joints flexible. Swimming
and water aerobics may be good choices because the buoyancy of the
water rec stress on weight-bearing joints.

Heat and cold. Heating pads or ice packs may help relieve arthritis

pain.

Assistive devices. Using canes, walkers, raised toilet seats and other
assistive devices can help protect your joints and improve your ability
to perform daily tasks."
13,Atherosclerosis,"Stop smoking. Smoking damages your arteries. If you smoke or use
tobacco in any form, quitting is the best way to halt the progression of
atherosclerosis and reduce your risk of complications.

Exercise most days of the week. Regular exercise can condition your
muscles to use oxygen more efficiently. Physical activity can also
improve circulation and promote development of new blood vessels
that form a natural bypass around obstructions (collateral vessels)
Exercise helps lower blood pressure and reduces your risk of diabetes.

Ideally, you should exercise 30 to 60 minutes most days of the week.
If you can't fit it all into one session, try breaking it up into 10-minute
intervals. You can take the stairs instead of the elevator, walk around
the block during your lunch hour, or do some situps or pushups while
watching television

Eat healthy foods. A heart-healthy diet based on fruits, vegetables
and whole grains - and low in saturated fat, cholesterol and sodium
- can help you control your weight, blood pressure, cholesterol and
blood sugar. Try substituting whole-grain bread in place of white bread;
grabbing an apple, a banana or carrot sticks as a snack, and reading
nutrition labels as a guide to controlling the amount of salt and fat you
eat

Lose extra pounds and maintain a healthy weight. If you're overweight,
losing as few as 5 to 10 pounds (about 2.3 to 4.5 kilograms) can help
reduce your risk of high blood pressure and high cholesterol, two of the
major risk factors for developing atherosclerosis. Losing weight helps
reduce your risk of diabetes or control your condition if you already
have diabetes

Manage stress. Reduce stress as much as possible. Practice healthy
techniques for managing stress, such as muscle relaxation and deep
breathing."
14,Asthma,"Use your air conditioner. Air conditioning reduces the amount of
airborne pollen from trees, grasses and weeds that finds its way
indoors. Air conditioning also lowers indoor humidity and can reduce
your exposure to dust mites. if you don't have air conditioning, try to
keep your windows closed during pollen season.

Decontaminate your decor. Minimize dust that may worsen nighttime
symptoms by replacing certain items in your bedroom. For example,
encase pillows, mattresses and box springs in dust proof covers
Remove carpeting and install hardwood or linoleum flooring. Use
washable curtains and blinds

Maintain optimal humidity. If you live in a damp climate, talk to your
doctor about using a dehumidifier

Prevent mold spores. Clean damp areas in the bath, kitchen and around
the house to keep mold spores from developing. Get rid of moldy
leaves or damp firewood in the yard.

Reduce pet dander. If you're allergic to dander, avoid pets with fur or
feathers. Having pets regularly bathed or groomed also may reduce the
amount of dander in your surroundings.

Clean regularly. Clean your home at least once a week. If you're likely
to stir up dust, wear a mask or have someone else do the cleaning.

Cover your nose and mouth if it's cold out. If your asthma is worsened
by cold or dry air, wearing a face mask can help.

Stay healthy

Taking care of yourself can help keep your symptoms under control
including:

Get regular exercise. Having asthma doesn't mean you have to be less
active. Treatment can prevent asthma attacks and control symptoms
during activity

Regular exercise can strengthen your heart and lungs, which helps
relieve asthma symptoms. If you exercise in cold temperatures, wear a
face mask to warm the air you breathe

Maintain a healthy weight. Being overweight can worsen asthma
symptoms, and it puts you at higher risk of other health problems."
15,"Chronic obstructive pulmonary disease,","Control your breathing. Talk to your doctor or respiratory therapist
about techniques for breathing more efficiently throughout the day.
Also be sure to discuss breathing positions and relaxation techniques
that you can use when you're short of breath

Clear your airways. With COPD, mucus tends to collect in your air
passages and can be difficult to clear. Controlled coughing, drinking
plenty of water and using a humidifier may help.

Exercise regularly. It may seem difficult to exercise when you have
trouble breathing, but regular exercise can improve your overall
strength and endurance and strengthen your respiratory muscles.

Eat healthy foods. A healthy diet can help you maintain your strength.
If you're underweight, your doctor may recommend nutritional
supplements. If you're overweight losing weight can significantly help
your breathing, especially during times of exertion

Avoid smoke and air pollution. In addition to quitting smoking, it's
important to avoid places where others smoke. Secondhand smoke
may contribute to further lung damage. Other types of air pollution also
can irritate your lungs."
16,Metabolic syndrome,"Exercise. Doctors recommend getting 30 or more minutes of
moderate-intensity exercise, such as brisk walking, every day.

Lose weight. Losing weight can reduce insulin resistance and blood
pressure and decrease your risk of diabetes.

Eat healthy. The Dietary Approaches to Stop Hypertension (DASH)
diet and the Mediterranean diet, like many healthy eating plans, limit
unhealthy fats and emphasize fruits, vegetables, fish and whole grains.
Both of these dietary approaches have been found to offer important
health benefits in addition to weight loss - for people who have
components of metabolic syndrome.

Stop smoking. Smoking cigarettes worsens the health consequences
of metabolic syndrome. Talk to your doctor if you need help kicking the
cigarette habit."
17,Chronic renal failure ,"Avoid products with added salt. Lower the amount of sodium you
eat each day by avoiding products with added salt, including many
convenience foods, such as frozen dinners, canned soups and fast
foods. Other foods with added salt include salty snack foods, canned
vegetables, and processed meats and cheeses.

Choose lower potassium foods. Your dietitian may recommend that
you choose lower potassium foods at each meal. High-potassium foods
include bananas, oranges, potatoes, spinach and tomatoes. Examples
of low-potassium foods include apples, cabbage, carrots, green beans,
grapes and blueberries. Be aware that many salt substitutes contain
potassium, so you should avoid them if you have kidney failure.

Limit the amount of protein you eat. Your dietitian will estimate the
appropriate number of grams of protein you should eat each day and
make recommendations based on that amount. High-protein foods
include lean meats, eggs, milk, cheese and beans. Low-protein foods
include vegetables, fruits, breads and cereals."
18,Osteoporosis,"Smoking increases rates of bone loss and the chance of
experiencing a fracture

Avoid excessive alcohol. Consuming more than two alcoholic drinks a
day may decrease bone formation. Being under the influence also can
increase your risk of falling.

Prevent falls. Wear low-heeled shoes with nonslip soles and check your
house for electrical cords, area rugs and slippery surfaces that might
cause you to trip or fall. Keep rooms brightly lit, install grab bars just
inside and outside your shower door, and make sure you can get into
and out of your bed easily."
19,Swimmer’s ear,Don't use head phones/earphones for th longer amount of time
20,Nephritis,"If you have kidney disease, your doctor may recommend certain lifestyle
changes:

Restrict your salt intake to prevent or minimize fluid retention, swelling
and hypertension

Cut back on protein and potassium consumption to slow the buildup of
wastes in your blood

Maintain a healthy weight

Control your blood sugar level if you have diabetes

Quit smoking"
21,Eye Pain,"1. Dont't sit continuously in front of the PC/laptop
2. Take small breaks in between when working continuously in front of laptop
3. Use Computer spectacles
4. Put wet piece of cloth on your eyes for sometime
5. Do eye execises"
22,No Lifestyle Disease,You are a very healthy person.Your eating habits and lifestyle choices are great.Maintain them properly.
